Fold	Label	Score_0	Score
1	0	0.881466522	0.118533478
1	0	0.773574903	0.226425097
1	0	0.649148216	0.350851784
1	0	0.494103252	0.505896748
1	0	0.918756215	0.081243785
2	0	0.363273285	0.636726715
2	0	0.563756897	0.436243103
2	0	0.442811688	0.557188312
2	0	0.723665625	0.276334375
2	0	0.61100493	0.38899507
2	0	0.668247999	0.331752001
2	0	0.384475812	0.615524188
2	0	0.599796676	0.400203324
2	0	0.556337045	0.443662955
2	0	0.430780338	0.569219662
2	0	0.749246229	0.250753771
2	0	0.742215107	0.257784893
2	0	0.515881965	0.484118035
2	0	0.338457997	0.661542003
2	0	0.588623724	0.411376276
2	0	0.464629619	0.535370381
2	0	0.034890944	0.965109056
2	0	0.73634056	0.26365944
2	0	0.716276123	0.283723877
2	0	0.746793032	0.253206968
2	0	0.565705647	0.434294353
2	0	0.855578694	0.144421306
2	0	0.651462063	0.348537937
2	0	0.659789902	0.340210098
2	0	0.756056469	0.243943531
2	0	0.665226664	0.334773336
2	0	0.658906918	0.341093082
2	0	0.531353014	0.468646986
2	0	0.545972248	0.454027752
2	0	0.649415494	0.350584506
2	0	0.690651015	0.309348985
2	0	0.685798573	0.314201427
2	0	0.579108464	0.420891536
2	0	0.519682612	0.480317388
2	0	0.719286439	0.280713561
2	0	0.790208788	0.209791212
2	0	0.627475885	0.372524115
2	0	0.593400715	0.406599285
2	0	0.383626782	0.616373218
2	0	0.437974519	0.562025481
2	0	0.595674834	0.404325166
2	0	0.555664896	0.444335104
2	0	0.574271081	0.425728919
3	0	0.753027169	0.246972831
3	0	0.724826226	0.275173774
3	0	0.492803226	0.507196774
3	0	0.650945778	0.349054222
3	0	0.874757645	0.125242355
3	0	0.80521119	0.19478881
3	0	0.58021061	0.41978939
3	0	0.772621363	0.227378637
3	0	0.734052545	0.265947455
3	0	0.749538122	0.250461878
3	0	0.635926252	0.364073748
3	0	0.441365031	0.558634969
3	0	0.389965934	0.610034066
3	0	0.792509338	0.207490662
3	0	0.512031899	0.487968101
3	0	0.780246069	0.219753931
3	0	0.69590766	0.30409234
3	0	0.902300702	0.097699298
3	0	0.029513791	0.970486209
3	0	0.629015922	0.370984078
3	0	0.698088526	0.301911474
3	0	0.817263497	0.182736503
3	0	0.680253268	0.319746732
3	0	0.691383016	0.308616984
3	0	0.708869668	0.291130332
3	0	0.646866272	0.353133728
3	0	0.619895601	0.380104399
3	0	0.762009515	0.237990485
3	0	0.745648413	0.254351587
3	0	0.72833199	0.27166801
3	0	0.609911164	0.390088836
3	0	0.682873089	0.317126911
3	0	0.349627159	0.650372841
3	0	0.834989236	0.165010764
